year,month,sst
2012,1,12.27
2012,2,11.901
2012,3,11.092
2012,4,11.753
2012,5,11.258
2012,6,11.692
2012,7,12.887
2012,8,13.353
2012,9,13.882
2012,10,15.066
2012,11,14.701
2012,12,13.781
2013,1,12.138
2013,2,11.569
2013,3,11.447
2013,4,11.581
2013,5,12.0
2013,6,12.624
2013,7,14.001
2013,8,14.11
2013,9,13.801
2013,10,13.339
2013,11,13.19
2013,12,12.719
2014,1,13.178
2014,2,12.796
2014,3,13.241
2014,4,12.798
2014,5,12.026
2014,6,13.083
2014,7,15.566
2014,8,17.048
2014,9,17.12
2014,10,16.668
2014,11,15.583
2014,12,15.841
2015,1,14.652
2015,2,14.843
2015,3,13.978
2015,4,12.039
2015,5,12.607
2015,6,13.748
2015,7,16.096
2015,8,17.5
2015,9,16.967
2015,10,17.245
2015,11,14.954
2015,12,14.599
2016,1,13.672
2016,2,13.597
2016,3,13.802
2016,4,12.936
2016,5,13.231
2016,6,13.407
2016,7,12.807
2016,8,14.72
2016,9,14.768
2016,10,14.815
2016,11,14.697
2016,12,12.685
2017,1,12.489
2017,2,12.986
2017,3,12.999
2017,4,12.52
2017,5,12.135
2017,6,12.809
2017,7,12.959
2017,8,14.838
2017,9,16.403
2017,10,13.501
2017,11,14.411
2017,12,13.863
2018,1,13.727
2018,2,12.643
2018,3,12.595
2018,4,12.959
2018,5,12.622
2018,6,12.349
2018,7,14.019
2018,8,14.254
2018,9,14.326
2018,10,15.952
2018,11,15.499
2018,12,14.633
2019,1,13.395
2019,2,13.42
2019,3,13.162
2019,4,13.628
2019,5,14.185
2019,6,13.944
2019,7,13.82
2019,8,14.533
2019,9,15.118
2019,10,14.103
2019,11,14.168
2019,12,13.874
2020,1,12.96
2020,2,12.692
2020,3,13.621
2020,4,13.413
2020,5,13.613
2020,6,13.723
2020,7,14.624
2020,8,14.669
2020,9,14.805
2020,10,14.764
2020,11,13.299
2020,12,12.043
2021,1,12.371
2021,2,12.04
2021,3,11.545
2021,4,11.598
2021,5,11.841
2021,6,13.7
2021,7,14.305
2021,8,15.79
2021,9,16.147
2021,10,14.429
2021,11,14.439
2021,12,13.108
2022,1,12.99
2022,2,12.731
2022,3,11.705
2022,4,11.113
2022,5,10.981
