year,month,sst
2012,1,1.121
2012,2,1.127
2012,3,0.616
2012,4,2.69
2012,5,4.938
2012,6,8.003
2012,7,9.915
2012,8,11.335
2012,9,10.473
2012,10,8.3
2012,11,4.764
2012,12,1.93
2013,1,2.328
2013,2,1.169
2013,3,1.182
2013,4,1.965
2013,5,4.15
2013,6,8.248
2013,7,11.037
2013,8,11.727
2013,9,11.019
2013,10,8.742
2013,11,6.104
2013,12,2.986
2014,1,2.369
2014,2,1.206
2014,3,1.57
2014,4,2.947
2014,5,6.197
2014,6,8.797
2014,7,11.523
2014,8,13.119
2014,9,12.252
2014,10,9.473
2014,11,6.89
2014,12,4.985
2015,1,3.804
2015,2,2.22
2015,3,2.663
2015,4,3.816
2015,5,6.406
2015,6,9.75
2015,7,11.933
2015,8,13.386
2015,9,11.519
2015,10,9.437
2015,11,6.405
2015,12,3.978
2016,1,3.557
2016,2,3.275
2016,3,3.286
2016,4,5.139
2016,5,7.429
2016,6,11.034
2016,7,12.921
2016,8,13.21
2016,9,12.767
2016,10,10.014
2016,11,6.852
2016,12,3.506
2017,1,1.691
2017,2,1.253
2017,3,0.316
2017,4,1.904
2017,5,5.439
2017,6,8.556
2017,7,10.885
2017,8,12.4
2017,9,11.507
2017,10,9.582
2017,11,6.184
2017,12,3.933
2018,1,2.443
2018,2,1.154
2018,3,1.469
2018,4,2.785
2018,5,5.313
2018,6,9.329
2018,7,11.656
2018,8,12.346
2018,9,12.221
2018,10,9.746
2018,11,6.926
2018,12,4.857
2019,1,2.227
2019,2,1.986
2019,3,2.376
2019,4,4.575
2019,5,6.915
2019,6,10.104
2019,7,13.43
2019,8,13.667
2019,9,12.167
2019,10,9.541
2019,11,7.295
2019,12,4.679
2020,1,1.004
2020,2,0.495
2020,3,1.551
2020,4,2.367
2020,5,5.285
2020,6,9.049
2020,7,12.362
2020,8,12.946
2020,9,12.383
2020,10,10.005
2020,11,5.994
2020,12,3.731
2021,1,2.856
2021,2,1.885
2021,3,1.064
2021,4,1.367
2021,5,4.942
2021,6,8.118
2021,7,11.09
2021,8,12.575
2021,9,11.355
2021,10,8.601
2021,11,5.438
2021,12,1.956
2022,1,1.977
2022,2,1.792
2022,3,2.136
2022,4,4.063
2022,5,6.385
2022,6,10.179
2022,7,12.218
2022,8,12.521
2022,9,11.572
2022,10,9.149
2022,11,5.7
2022,12,3.052
2023,1,2.081
2023,2,1.808
2023,3,1.366
2023,4,2.698
2023,5,4.89
2023,6,7.834
2023,7,10.395
2023,8,12.147
2023,9,11.437
2023,10,8.746
2023,11,6.213
2023,12,3.842
2024,1,2.307
2024,2,1.986
2024,3,1.787
2024,4,3.517
2024,5,5.69
2024,6,8.775
2024,7,11.262
2024,8,12.263
2024,9,11.371
2024,10,8.97
2024,11,5.742
2024,12,3.928
2025,1,1.449
2025,2,1.301
2025,3,1.368
2025,4,2.024
2025,5,4.444
2025,6,8.296
2025,7,11.022
2025,8,11.98
2025,9,11.226
2025,10,8.964
2025,11,5.672
2025,12,2.512
2026,1,1.449
2026,2,1.301
2026,3,1.368
2026,4,2.024
2026,5,4.444
2026,6,8.296
2026,7,11.022
2026,8,11.98
2026,9,11.226
2026,10,8.964
2026,11,5.672
2026,12,2.512
2027,1,1.449
2027,2,1.301
2027,3,1.368
2027,4,2.024
2027,5,4.444
2027,6,8.296
2027,7,11.022
2027,8,11.98
2027,9,11.226
2027,10,8.964
2027,11,5.672
2027,12,2.512
2028,1,1.449
2028,2,1.301
2028,3,1.368
2028,4,2.024
2028,5,4.444
2028,6,8.296
2028,7,11.022
2028,8,11.98
2028,9,11.226
2028,10,8.964
2028,11,5.672
2028,12,2.512
2029,1,1.449
2029,2,1.301
2029,3,1.368
2029,4,2.024
2029,5,4.444
2029,6,8.296
2029,7,11.022
2029,8,11.98
2029,9,11.226
2029,10,8.964
2029,11,5.672
2029,12,2.512
2030,1,1.679
2030,2,1.277
2030,3,1.419
2030,4,2.255
2030,5,4.883
2030,6,8.421
2030,7,11.477
2030,8,12.683
2030,9,11.372
2030,10,9.201
2030,11,6.038
2030,12,3.245
2031,1,2.626
2031,2,1.761
2031,3,2.016
2031,4,2.92
2031,5,5.425
2031,6,9.023
2031,7,11.497
2031,8,12.288
2031,9,11.611
2031,10,9.227
2031,11,5.967
2031,12,2.76
2032,1,1.449
2032,2,1.301
2032,3,1.368
2032,4,2.024
2032,5,4.444
2032,6,8.296
2032,7,11.022
2032,8,11.98
2032,9,11.226
2032,10,8.964
2032,11,5.672
2032,12,2.512
2033,1,1.449
2033,2,1.301
2033,3,1.368
2033,4,2.024
2033,5,4.444
2033,6,8.296
2033,7,11.022
2033,8,11.98
2033,9,11.226
2033,10,8.964
2033,11,5.672
2033,12,2.512
2034,1,1.449
2034,2,1.301
2034,3,1.368
2034,4,2.024
2034,5,4.444
2034,6,8.296
2034,7,11.022
2034,8,11.98
2034,9,11.226
2034,10,8.964
2034,11,5.672
2034,12,2.512
2035,1,1.449
2035,2,1.301
2035,3,1.368
2035,4,2.024
2035,5,4.444
2035,6,8.296
2035,7,11.022
2035,8,11.98
2035,9,11.226
2035,10,8.964
2035,11,5.672
2035,12,2.512
2036,1,1.449
2036,2,1.301
2036,3,1.368
2036,4,2.024
2036,5,4.444
2036,6,8.296
2036,7,11.022
2036,8,11.98
2036,9,11.226
2036,10,8.964
2036,11,5.672
2036,12,2.512
2037,1,1.449
2037,2,1.301
2037,3,1.368
2037,4,2.024
2037,5,4.444
2037,6,8.296
2037,7,11.022
2037,8,11.98
2037,9,11.226
2037,10,8.964
2037,11,5.672
2037,12,2.512
2038,1,1.449
2038,2,1.301
2038,3,1.368
2038,4,2.024
2038,5,4.444
2038,6,8.296
2038,7,11.022
2038,8,11.98
2038,9,11.226
2038,10,8.964
2038,11,5.672
2038,12,2.512
2039,1,1.449
2039,2,1.301
2039,3,1.368
2039,4,2.024
2039,5,4.444
2039,6,8.296
2039,7,11.022
2039,8,11.98
2039,9,11.226
2039,10,8.964
2039,11,5.672
2039,12,2.512
2040,1,1.449
2040,2,1.301
2040,3,1.368
2040,4,2.024
2040,5,4.444
2040,6,8.296
2040,7,11.022
2040,8,11.98
2040,9,11.226
2040,10,8.964
2040,11,5.672
2040,12,2.512
2041,1,1.449
2041,2,1.301
2041,3,1.368
2041,4,2.024
2041,5,4.444
2041,6,8.296
2041,7,11.022
2041,8,11.98
2041,9,11.226
2041,10,8.964
2041,11,5.672
2041,12,2.512
2042,1,1.449
2042,2,1.301
2042,3,1.368
2042,4,2.024
2042,5,4.444
2042,6,8.296
2042,7,11.022
2042,8,11.98
2042,9,11.226
2042,10,8.964
2042,11,5.672
2042,12,2.512
2043,1,1.449
2043,2,1.301
2043,3,1.368
2043,4,2.024
2043,5,4.444
2043,6,8.296
2043,7,11.022
2043,8,11.98
2043,9,11.226
2043,10,8.964
2043,11,5.672
2043,12,2.512
2044,1,1.449
2044,2,1.301
2044,3,1.368
2044,4,2.024
2044,5,4.444
2044,6,8.296
2044,7,11.022
2044,8,11.98
2044,9,11.226
2044,10,8.964
2044,11,5.672
2044,12,2.512
2045,1,1.449
2045,2,1.301
2045,3,1.368
2045,4,2.024
2045,5,4.444
2045,6,8.296
2045,7,11.022
2045,8,11.98
2045,9,11.226
2045,10,8.964
2045,11,5.672
2045,12,2.512
2046,1,1.449
2046,2,1.301
2046,3,1.368
2046,4,2.024
2046,5,4.444
2046,6,8.296
2046,7,11.022
2046,8,11.98
2046,9,11.226
2046,10,8.964
2046,11,5.672
2046,12,2.512
2047,1,1.449
2047,2,1.301
2047,3,1.368
2047,4,2.024
2047,5,4.444
2047,6,8.296
2047,7,11.022
2047,8,11.98
2047,9,11.226
2047,10,8.964
2047,11,5.672
2047,12,2.512
2048,1,1.449
2048,2,1.301
2048,3,1.368
2048,4,2.024
2048,5,4.444
2048,6,8.296
2048,7,11.022
2048,8,11.98
2048,9,11.226
2048,10,8.964
2048,11,5.672
2048,12,2.512
2049,1,1.449
2049,2,1.301
2049,3,1.368
2049,4,2.024
2049,5,4.444
2049,6,8.296
2049,7,11.022
2049,8,11.98
2049,9,11.226
2049,10,8.964
2049,11,5.672
2049,12,2.512
2050,1,1.449
2050,2,1.301
2050,3,1.368
2050,4,2.024
2050,5,4.444
2050,6,8.296
2050,7,11.022
2050,8,11.98
2050,9,11.226
2050,10,8.964
2050,11,5.672
2050,12,2.512
