year,month,sst
2012,1,7.45
2012,2,7.224
2012,3,7.406
2012,4,9.34
2012,5,9.494
2012,6,9.781
2012,7,10.349
2012,8,11.139
2012,9,10.505
2012,10,9.727
2012,11,10.099
2012,12,9.015
2013,1,7.551
2013,2,7.572
2013,3,7.653
2013,4,8.419
2013,5,9.577
2013,6,10.858
2013,7,11.335
2013,8,10.476
2013,9,10.619
2013,10,10.473
2013,11,8.488
2013,12,7.361
2014,1,7.362
2014,2,7.09
2014,3,8.305
2014,4,9.519
2014,5,11.506
2014,6,10.563
2014,7,10.687
2014,8,11.304
2014,9,11.085
2014,10,12.176
2014,11,11.079
2014,12,10.016
2015,1,8.911
2015,2,9.444
2015,3,9.579
2015,4,9.57
2015,5,9.857
2015,6,10.72
2015,7,11.753
2015,8,11.621
2015,9,11.902
2015,10,10.842
2015,11,10.664
2015,12,9.258
2016,1,8.669
2016,2,9.417
2016,3,9.531
2016,4,10.459
2016,5,10.663
2016,6,10.761
2016,7,11.626
2016,8,12.225
2016,9,11.249
2016,10,11.263
2016,11,11.787
2016,12,9.169
2017,1,7.659
2017,2,7.738
2017,3,8.396
2017,4,9.916
2017,5,10.285
2017,6,11.094
2017,7,11.099
2017,8,11.618
2017,9,11.264
2017,10,10.199
2017,11,9.859
2017,12,8.681
2018,1,8.641
2018,2,8.063
2018,3,8.379
2018,4,9.476
2018,5,10.115
2018,6,10.848
2018,7,11.642
2018,8,12.009
2018,9,10.92
2018,10,10.119
2018,11,9.761
2018,12,8.991
2019,1,8.588
2019,2,7.802
2019,3,8.438
2019,4,9.924
2019,5,10.471
2019,6,10.603
2019,7,11.682
2019,8,11.883
2019,9,11.989
2019,10,9.957
2019,11,8.844
2019,12,8.443
2020,1,8.604
2020,2,8.115
2020,3,8.021
2020,4,8.885
2020,5,11.418
2020,6,10.635
2020,7,11.379
2020,8,12.087
2020,9,11.209
2020,10,10.241
2020,11,9.751
2020,12,9.276
2021,1,9.085
2021,2,8.338
2021,3,8.22
2021,4,8.175
2021,5,9.21
2021,6,11.368
2021,7,11.332
2021,8,11.767
2021,9,10.973
2021,10,10.933
2021,11,9.93
2021,12,8.615
2022,1,7.506
2022,2,7.675
2022,3,8.225
2022,4,8.425
2022,5,9.854
2022,6,10.185
2022,7,10.154
2022,8,10.703
2022,9,10.375
2022,10,9.59
2022,11,8.642
2022,12,8.075
2023,1,8.234
2023,2,7.971
2023,3,7.516
2023,4,8.772
2023,5,9.768
2023,6,9.468
2023,7,9.727
2023,8,10.836
2023,9,10.121
2023,10,10.815
2023,11,10.273
2023,12,9.291
2024,1,8.932
2024,2,9.034
2024,3,9.031
2024,4,9.413
2024,5,9.308
2024,6,9.364
2024,7,9.899
2024,8,10.425
2024,9,9.972
2024,10,9.099
2024,11,9.739
2024,12,9.069
2025,1,7.968
2025,2,7.969
2025,3,8.115
2025,4,9.029
2025,5,9.831
2025,6,10.801
2025,7,11.312
2025,8,11.274
2025,9,10.674
2025,10,10.149
2025,11,9.524
2025,12,8.54
2026,1,7.968
2026,2,7.969
2026,3,8.115
2026,4,9.029
2026,5,9.831
2026,6,10.801
2026,7,11.312
2026,8,11.274
2026,9,10.674
2026,10,10.149
2026,11,9.524
2026,12,8.54
2027,1,7.968
2027,2,7.969
2027,3,8.115
2027,4,9.029
2027,5,9.831
2027,6,10.801
2027,7,11.312
2027,8,11.274
2027,9,10.674
2027,10,10.149
2027,11,9.524
2027,12,8.54
2028,1,7.816
2028,2,7.749
2028,3,8.163
2028,4,9.152
2028,5,10.25
2028,6,10.742
2028,7,11.532
2028,8,11.447
2028,9,11.288
2028,10,10.495
2028,11,10.094
2028,12,8.899
2029,1,8.439
2029,2,8.707
2029,3,8.847
2029,4,9.3
2029,5,9.844
2029,6,10.76
2029,7,11.39
2029,8,11.512
2029,9,10.818
2029,10,10.427
2029,11,10.09
2029,12,8.697
2030,1,7.968
2030,2,7.969
2030,3,8.115
2030,4,9.029
2030,5,9.831
2030,6,10.801
2030,7,11.312
2030,8,11.274
2030,9,10.674
2030,10,10.149
2030,11,9.524
2030,12,8.54
2031,1,7.968
2031,2,7.969
2031,3,8.115
2031,4,9.029
2031,5,9.831
2031,6,10.801
2031,7,11.312
2031,8,11.274
2031,9,10.674
2031,10,10.149
2031,11,9.524
2031,12,8.54
2032,1,7.968
2032,2,7.969
2032,3,8.115
2032,4,9.029
2032,5,9.831
2032,6,10.801
2032,7,11.312
2032,8,11.274
2032,9,10.674
2032,10,10.149
2032,11,9.524
2032,12,8.54
2033,1,7.74
2033,2,7.64
2033,3,8.186
2033,4,9.213
2033,5,10.459
2033,6,10.712
2033,7,11.643
2033,8,11.534
2033,9,11.595
2033,10,10.669
2033,11,10.379
2033,12,9.079
2034,1,8.675
2034,2,9.075
2034,3,9.213
2034,4,9.435
2034,5,9.85
2034,6,10.74
2034,7,11.43
2034,8,11.631
2034,9,10.89
2034,10,10.567
2034,11,10.373
2034,12,8.776
2035,1,7.968
2035,2,7.969
2035,3,8.115
2035,4,9.029
2035,5,9.831
2035,6,10.801
2035,7,11.312
2035,8,11.274
2035,9,10.674
2035,10,10.149
2035,11,9.524
2035,12,8.54
2036,1,7.968
2036,2,7.969
2036,3,8.115
2036,4,9.029
2036,5,9.831
2036,6,10.801
2036,7,11.312
2036,8,11.274
2036,9,10.674
2036,10,10.149
2036,11,9.524
2036,12,8.54
2037,1,7.968
2037,2,7.969
2037,3,8.115
2037,4,9.029
2037,5,9.831
2037,6,10.801
2037,7,11.312
2037,8,11.274
2037,9,10.674
2037,10,10.149
2037,11,9.524
2037,12,8.54
2038,1,7.665
2038,2,7.53
2038,3,8.21
2038,4,9.274
2038,5,10.669
2038,6,10.682
2038,7,11.753
2038,8,11.621
2038,9,11.902
2038,10,10.842
2038,11,10.664
2038,12,9.258
2039,1,8.911
2039,2,9.444
2039,3,9.579
2039,4,9.57
2039,5,9.857
2039,6,10.72
2039,7,11.469
2039,8,11.749
2039,9,10.962
2039,10,10.706
2039,11,10.656
2039,12,8.855
2040,1,7.968
2040,2,7.969
2040,3,8.115
2040,4,9.029
2040,5,9.831
2040,6,10.801
2040,7,11.312
2040,8,11.274
2040,9,10.674
2040,10,10.149
2040,11,9.524
